Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Sao Tome and Principe,STP,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,420.0
Sao Tome and Principe,STP,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,410.0
Sao Tome and Principe,STP,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,400.0
Sao Tome and Principe,STP,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,370.0
Sao Tome and Principe,STP,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,370.0
Sao Tome and Principe,STP,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,350.0
Sao Tome and Principe,STP,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,350.0
Sao Tome and Principe,STP,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Sao Tome and Principe,STP,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,330.0
Sao Tome and Principe,STP,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Sao Tome and Principe,STP,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Sao Tome and Principe,STP,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Sao Tome and Principe,STP,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Sao Tome and Principe,STP,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,340.0
Sao Tome and Principe,STP,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,350.0
Sao Tome and Principe,STP,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,360.0
Sao Tome and Principe,STP,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,360.0
Sao Tome and Principe,STP,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,360.0
Sao Tome and Principe,STP,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,360.0
Sao Tome and Principe,STP,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,350.0
Sao Tome and Principe,STP,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,310.0
Sao Tome and Principe,STP,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,270.0
Sao Tome and Principe,STP,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,280.0
Sao Tome and Principe,STP,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,280.0
Sao Tome and Principe,STP,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,310.0
Sao Tome and Principe,STP,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,300.0
Sao Tome and Principe,STP,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,300.0
Sao Tome and Principe,STP,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,300.0
Sao Tome and Principe,STP,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,290.0
Sao Tome and Principe,STP,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,300.0
Sao Tome and Principe,STP,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,310.0
