Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Vanuatu,VUT,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,1870.0
Vanuatu,VUT,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,1870.0
Vanuatu,VUT,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,1870.0
Vanuatu,VUT,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,1870.0
Vanuatu,VUT,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,1870.0
Vanuatu,VUT,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,1870.0
Vanuatu,VUT,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,1870.0
Vanuatu,VUT,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,1870.0
Vanuatu,VUT,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,1870.0
Vanuatu,VUT,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,1870.0
Vanuatu,VUT,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,1870.0
Vanuatu,VUT,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,1870.0
Vanuatu,VUT,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,1850.0
Vanuatu,VUT,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,1830.0
Vanuatu,VUT,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,1810.0
Vanuatu,VUT,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,1800.0
Vanuatu,VUT,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,1780.0
Vanuatu,VUT,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,1770.0
Vanuatu,VUT,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,1750.0
Vanuatu,VUT,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,1730.0
Vanuatu,VUT,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,1720.0
Vanuatu,VUT,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,1680.0
Vanuatu,VUT,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,1670.0
Vanuatu,VUT,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,1650.0
Vanuatu,VUT,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,1600.0
Vanuatu,VUT,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,1590.0
Vanuatu,VUT,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,1570.0
Vanuatu,VUT,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,1540.0
Vanuatu,VUT,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,1520.0
Vanuatu,VUT,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,1490.0
Vanuatu,VUT,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,1470.0
Vanuatu,VUT,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,1430.0
Vanuatu,VUT,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,1410.0
Vanuatu,VUT,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,1370.0
